;;;;;;;;;;
;Číslo;Popis;Typ;Stav;;;;;;
;1;věžní Hiemann 1884;Graham;funkční;;;;;;
;2;věžní Prokeš 1868 soubor;Benoit a Robert;funkční;;;;;;
;3;barokní ministroj  18. stol.;švarcvald;funkční;;;;;;
;4;věžní 18. stol. ;špindl;nefunkční;;;;;;
;5;věžní 18. stol. špindl;špindl;nefunkční;;;;;;
;6;věžní Michael Christ;Clement;funkční;;;;;;
;7;věžní F. X. Beitel;Graham;funkční;;;;;;
;8;věžní R. Liebing;Graham;nefunkční;;;;;;
;9;věžní Thöndel;Graham;nefunkční;;;;;;
;10;věžní;Amant;funkční;;;;;;
;11;věžní torzo;Graham;nefunkční;;;;;; 
;12;věžní Rochlitz;Graham;funkční;;;;;;
;13;věžní Wenzel Mellner;špindl;funkční;;;;;;
;14;věžní hodiny Paul Zieux;Amant;funkční;;;;;;
;15;věžní Kohlert Kraslice;Graham;funkční;;;;;;
;16;věžní Kladno;Graham;funkční;;;;;;
;17;věžní Hainz;Graham;funkční;;;;;;
 ;18;věžní barokní kované;špindl;nefunkční;;;;;;
;19;věžní hodiny Amant 1898;Amant;funkční;;;;;;
;20;věžní hodiny Krečmer;Amant;funkční;;;;;;
;21;věžní dřevěné;špindl;funkční;;;;;;
;22;věžní Holanďan;Clement;funkční;;;;;;
;23;věžní Jílové;Clement;funkční;;;;;;
;24;věžní Bassler;Amant;funkční;;;;;;
;25;věžní Chřibská;Clement;nefunkční;;;;;;
;26;věžní Jirkostroj;Graham;funkční;;;;;;
;27;věžní Velká Ves;;nefunkční;;;;;;
;28;věžní se setrvačkou;pérové;funkční;;;;;;
;29;věžní Benešov;Amant;funkční;;;;;;
;30;věžní Polevsko Hainz;Graham;funkční;;;;;;
;31;věžní Francie;Benoit a Robert;funkční;;;;;;
;32;Věžní Skalice;Amant;funkční;;;;;;
;33;Věžní Lexa;Graham;funkční;;;;;;
;34;Věžní Benešov radnice;Graham;funkční;;;;;;
;35;Věžní Mikulášovice;Winnerl ;;;;;;;
;36;věžní Thöndel 2;Amant;funkční;;;;;;
;37;komplet matičních hodin + Brillié;;funkční;;;;;;
;38;součást věžních hodin;;nefunkční;;;;;;
;39;Die Turmuhren;kniha;;;;;;;
;40;dřevěné hodiny;quarz;funkční;;;;;;
;41;hodiny Achrer;;funkční;;;;;;
;42;hodiny housle;quarz;funkční;;;;;;
;43;kované hodiny Legner;quarz;funkční;;;;;;
;44;lihýřové hodiny;lihýř;funkční;;;;;;
;45;matiční hodiny T&N;;funkční;;;;;;
;46;nouzové zastavení času;quarz;funkční;;;;;;
;47;orloj Skála;;funkční;;;;;;
;48;podlahové hodiny barokní;;funkční;;;;;;
;49;podlahové hodiny Comtoise;Graham;funkční;;;;;;
;50;podružné věžní VH1 Elektročas;elektro;funkční;;;;;;
;51;podružné věžní  Elektročas ;motorek;funkční;;;;;;
;52;Soustava rozvodů s rafijemi;;;;;;;;
;53;Orloj Hvězdárna Petřín;;funkční;;;;;;
;54;skeletové hodiny Kavalír;;funkční;;;;;;
;55;Hodiny Comtoise;špindl;funkční;;;;;;
;56;Hodiny Comtoise;kotvový;funkční;;;;;;
;57;kované hodiny Gibbus 1;quarz;funkční;;;;;;
;58;kované hodiny Gibbus 2;quarz;funkční;;;;;;
;59;podlahové anglické;Graham;funkční;;;;;;
;60;Hodinový hotel;Dřevořezba;funkční;;;;;;
;61;Cimbál s kladivem;;nefunkční;;;;;;
;62;torzo ciferníku s ručkou a rozvody;;nefunkční;;;;;;
;63;Pendlovky;pérové;funkční;;;;;;
;64;Mysteriózní natahování;;funkční;;;;;;
;65;Orloj Kavalír;model;funkční;;;;;;
;66;Cimbál s odbíjením;;funkční;;;;;;
;67;Věžní Lissner;;funkční;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;Vitrína 1;;;;;;;;;
;68;Sluneční hodiny horizontální;;funkční;;;;;;
;69;Sluneční hodiny polární plechové;;funkční;;;;;;
;70;Sluneční hodiny polární mosazné;;funkční; ;;;;;
;71;Sluneční hodiny polární plechové;;funkční;;;;;;
;72;Sluneční hodiny přenosné 1;;funkční;;;;;;
;73;Sluneční hodiny přenosné 2;;funkční;;;;;;
;74;Astroláb dřevěný;;funkční;;;;;;
