parent_key	att_key	pdf_size	pages	cache_words	reason	att_filename
H868QUKS	EPD9AV6X	14758777	70	53376	identical-duplicate (keep first)	Bedini a Maddison - 1966 - Mechanical Universe The Astrarium of Giovanni de' Dondi.pdf
H868QUKS	FVRC42VY	14758777	70	53376	identical-duplicate (keep first)	Bedini a Maddison - 1966 - Mechanical Universe The Astrarium of Giovanni de' Dondi.pdf
VZIC4ASR	GQJ3U4EE	1629313	20	9366	identical-duplicate (keep first)	Enikő - ÓRAHASZNÁLAT A KÖZÉPKORI MAGYARORSZÁGON.pdf
VZIC4ASR	Z75IFXEH	1629313	20	9366	identical-duplicate (keep first)	Enikő - 1992 - Órahasználat a középkori Magyarországon.pdf
L8LXAXMM	MA6FJSZJ	3279800	15	10592	identical-duplicate (keep first)	Porzionato et al. - 2012 - The Anatomical School of Padua.pdf
L8LXAXMM	VR5EJBQ9	3279800	15	10592	identical-duplicate (keep first)	Porzionato et al. - 2012 - The Anatomical School of Padua.pdf
ABA7YN2J	RZYIUAWY	641938	2	777	identical-duplicate (keep first)	Haškovec - 1917 - O orloji na pražské radnici.pdf
ABA7YN2J	BGJD5PHK	MISSING	0	0	lower-quality	Haškovec - 1917 - O orloji na pražské radnici
JTEVTGNW	R7RL8LMN	6496502	48	26573	identical-duplicate (keep first)	Gilbert - 1977 - A Letter of Giovanni Dondi dall'Orologio to Fra Guglielmo Centueri A Fourteenth-Century Episode in.pdf
JTEVTGNW	WFB4335I	6496502	48	26575	identical-duplicate (keep first)	Gilbert - 1977 - A Letter of Giovanni Dondi dall'Orologio to Fra Guglielmo Centueri A Fourteenth-Century Episode in.pdf
USQS6PZN	RE8VHS9C	323654	14	9390	identical-duplicate (keep first)	Božek - 1897 - Über Uhren und Uhrmacher.pdf
LGQQRLX8	MSYXJMDR	282921	4	1175	identical-duplicate (keep first)	Thorndike - 1928 - The Clocks of Jacopo and Giovanni de' Dondi.pdf
LGQQRLX8	ZRNN5EYY	282921	4	1175	identical-duplicate (keep first)	Thorndike - 1928 - The Clocks of Jacopo and Giovanni de' Dondi.pdf
9XHFAP4R	JX53VNQI	106973511	14	0	lower-quality	Božek - Lebens und Leidensgechichte.pdf
9XHFAP4R	SH66SL99	106973511	14	0	lower-quality	Božek - Lebens und Leidensgechichte.pdf
7WI3J9NZ	TW59823D	4037478	14	0	identical-duplicate (keep first)	Gustav Schmidt - 1868 - Ueber astronomische Uhren.pdf
V2SVXJ2Q	T8Y6J3AR	393823	7	3877	identical-duplicate (keep first)	Strong a Davidson - 1935 - Universal World Time.pdf
NUNT2QW2	M7VEUPUD	2295599	28	17464	identical-duplicate (keep first)	Ogle - 2013 - Whose Time Is It The Pluralization of Time and the Global Condition, 1870s—1940s.pdf
WX9SWA2G	KEA9SEK7	6875823	24	11148	identical-duplicate (keep first)	Zerubavel - 1982 - The Standardization of Time A Sociohistorical Perspective.pdf
WX9SWA2G	BTIVKI7F	MISSING	0	0	lower-quality	PDF
TF5QAS76	JLXHVW97	78215384	337	28205	lower-quality	Bilfinger - 1892 - Die mittelalterlichen Horen und die modernen Stunden ein Beitrag zur Kulturgeschichte.pdf
TF5QAS76	SY96YG5W	78215384	337	28205	lower-quality	Bilfinger - 1892 - Die mittelalterlichen Horen und die modernen Stunden ein Beitrag zur Kulturgeschichte.pdf
RHZE4FWC	YLY85PPX	33769089	86	26696	identical-duplicate (keep first)	Bach - 1985 - Das Astrarium des Giovanni de Dondi.pdf
RHZE4FWC	N8CYK5RK	15306957	86	17365	lower-quality	Bach - 1985 - Das Astrarium des Giovanni de Dondi.pdf
RHZE4FWC	BTLG4YGP	19460217	86	0	lower-quality	Bach - 1985 - Das Astrarium des Giovanni de Dondi.pdf
RHZE4FWC	RMY25RTC	19460217	86	0	lower-quality	Bach - 1985 - Das Astrarium des Giovanni de Dondi.pdf
E93CMKRY	95SNY95L	102803901	174	0	lower-quality	Bureš - 1965 - Hodinové stroje I.pdf
EZMVTUG3	9CVXI7TW	103811	5	2044	identical-duplicate (keep first)	Albini - 2013 - L’universo ad orologeria di Giovanni Dondi.pdf
EZMVTUG3	RADV9QPN	103811	5	2044	identical-duplicate (keep first)	Albini - 2013 - L’universo ad orologeria di Giovanni Dondi.pdf
EZMVTUG3	W36C93YA	103681	5	2352	identical-duplicate (keep first)	Albini - 2013 - L’universo ad orologeria di Giovanni Dondi.pdf
EZMVTUG3	46VJJF7Z	MISSING	0	0	lower-quality	Albini 2013 — L'universo ad orologeria di Giovanni Dondi (cs, překlad)
EZMVTUG3	9GQ9H3RG	MISSING	0	0	lower-quality	Albini 2013 — L'universo ad orologeria di Giovanni Dondi (it, originál)
UDWP629E	MCE6ZC9J	159660	20	9236	identical-duplicate (keep first)	Truffa - Bibliografia su Jacopo e Giovanni Dondi Dall’Orologio.pdf
UDWP629E	TRUZPA9L	MISSING	0	0	lower-quality	PDF
LPDL8MZU	N6BRRTGR	2885097	15	4324	identical-duplicate (keep first)	Jufre - 2011 - The astrarium of Giovanni di Dondi (14th century). Mechanical principles.pdf
LPDL8MZU	VQ9MGIVF	2885097	15	4324	identical-duplicate (keep first)	Jufre - 2011 - The astrarium of Giovanni di Dondi (14th century). Mechanical principles.pdf
NX9KNK9G	LCBAKWEF	10827	1	0	lower-quality	Božek priviliegia.pdf
NX9KNK9G	N2GV7TXG	10827	1	0	lower-quality	Božek priviliegia.pdf
LQXZMLZG	QDKB9DX5	3306612	11	96	identical-duplicate (keep first)	Klika - 1894 - Josef Božek.pdf
ZK5ARYU9	DRXM6FT4	104774	16	5862	identical-duplicate (keep first)	Dolenský - 1935 - Inventář NTM Josef a Romuald Božek.pdf
HA4CEQAW	LVDSWSE7	17577299	188	24776	identical-duplicate (keep first)	Kučera - 2011 - Božkové ve sbírkách Národního technického muzea v Praze.pdf
ZQII6VJA	BBIIVV24	3420821	34	13830	identical-duplicate (keep first)	Dresti a Mosello - 2020 - A comparative analysis of twelve manuscripts of Giovanni Dondi’s astrarium.pdf
ZQII6VJA	S4Y4R594	MISSING	0	0	lower-quality	AH_vol.41_No.04.pdf
CA2IMZ84	MVHNU66Q	9852630	31	10137	identical-duplicate (keep first)	Scipione Dondi dall'Orologio - 1789 - Notizie sopra Jacopo e Giovanni Dondi dall Orologio.pdf
CA2IMZ84	ZVM9V36L	MISSING	0	0	lower-quality	Scipione Dondi dall'Orologio - 1789 - Notizie sopra Jacopo e Giovanni Dondi dall Orologi.ocr
AJNL5V67	KA7EZRLG	2028564	42	16756	identical-duplicate (keep first)	Belgrano - 1868 - Degli Antichi Orologi Pubblici D'italia Con Aggiunta Di Notizie Della Posta in Genova.pdf
AJNL5V67	PJGPN8C9	MISSING	0	0	lower-quality	Belgrano - 1868 - Degli Antichi Orologi Pubblici D'italia Con Aggiun.pdf
IEK53ZQW	EFPEHUWJ	7834041	20	6417	identical-duplicate (keep first)	Dresti a Mosello - 2016 - Il meccanismo per il calcolo delle feste mobili nell'astrario di giovanni dondi.pdf
66KNHMC7	TFDHGDME	1088041	67	19338	identical-duplicate (keep first)	Navrátil - 2010 - Geografické rozložení časových pásem – srovnání teorie se současnou praxí.pdf
66KNHMC7	4RDV5FWM	MISSING	0	0	lower-quality	PDF
F336CW7N	NGLYH4BI	114186	20	8219	identical-duplicate (keep first)	International Meridian Conference.pdf
F336CW7N	M4RLT55Q	572200	9	4394	lower-quality	International Meridian Conference.pdf
F336CW7N	VLARVDGC	572200	9	4394	lower-quality	International Meridian Conference.pdf
F336CW7N	VN36USV5	270887	4	2111	lower-quality	International Meridian Conference.pdf
F336CW7N	RTP432FL	270887	4	0	lower-quality	International Meridian Conference.pdf
U9ELX7YP	QVMRUVTH	58055447	1143	42808	identical-duplicate (keep first)	1896 - Report of the Sixth International Geographical Congress held in London, 1895.pdf
U9ELX7YP	75WMF7VZ	MISSING	0	0	lower-quality	PDF
W4VW225K	X5JCGMS3	51365812	645	0	lower-quality	Department - 1885 - Report Upon the Third International Geographic Congress and Exhibition at Venice, Italy, 1881, Accom.pdf
W4VW225K	HZ9PBX7X	MISSING	0	0	lower-quality	Report_Upon_the_Third_International_Geog
BRRQDG28	NZU2NXXA	2168216	43	11244	identical-duplicate (keep first)	Fleming - 1876 - Memoir on Terrestrial Time.pdf
5A4H93F5	ZTNGE4T3	4591966	76	18976	identical-duplicate (keep first)	Fleming - 1879 - Time Reckoning and Prime Meridian.pdf
MQBK4AAM	8IPPZH3K	1220664	39	12288	identical-duplicate (keep first)	Petra Firýtová - Pojetí času v díle Augustina Aurelia.pdf
MQBK4AAM	F3S8NPL5	MISSING	0	0	lower-quality	PDF
KJMYTLCA	PMXSVS7M	385609	20	12921	identical-duplicate (keep first)	2005 - Professor Mudr. Rndr. h.c. Emanuel Vlček, Drsc..pdf
KJMYTLCA	E7EJJ24U	MISSING	0	0	lower-quality	PDF
CCVY4T92	P3TRB35R	2452953	3	3367	identical-duplicate (keep first)	L.C. Mader - 1881 - Zur Einführung einer Normalzeit.pdf
