slug,oldCategory,newCategory,suggestedTags,reason
"12_24","projekty","zajimavosti","popularizace","OVERRIDE: téma konvence času"
"4ruce","projekty","projekty","","DEFAULT: projekty → projekty"
"ATO","projekty","konstrukce","elektromagneticke;1900s","OVERRIDE: ATO princip"
"Arduino","projekty","projekty","","DEFAULT: projekty → projekty"
"Arduino_IBM","projekty","projekty","","DEFAULT: projekty → projekty"
"Arduino_Solari","projekty","projekty","","DEFAULT: projekty → projekty"
"ESV3","projekty","projekty","","DEFAULT: projekty → projekty"
"GPS_Sakul","projekty","projekty","","DEFAULT: projekty → projekty"
"Kappa","projekty","projekty","","DEFAULT: projekty → projekty"
"Lantime_M100","projekty","projekty","","DEFAULT: projekty → projekty"
"NTPH","projekty","projekty","","DEFAULT: projekty → projekty"
"PRS10","projekty","projekty","","DEFAULT: projekty → projekty"
"RickStanley","projekty","projekty","","DEFAULT: projekty → projekty"
"Staiger","projekty","projekty","","DEFAULT: projekty → projekty"
"TimHunkin","projekty","virtualni-muzeum","kuriozita","OVERRIDE: humor — Tim Hunkin"
"TimeSlider","projekty","projekty","","DEFAULT: projekty → projekty"
"Timometer","projekty","projekty","","DEFAULT: projekty → projekty"
"alzbeta","projekty","projekty","","DEFAULT: projekty → projekty"
"arduino_PPS","projekty","projekty","","DEFAULT: projekty → projekty"
"astro2_NTP","projekty","projekty","","DEFAULT: projekty → projekty"
"astronomicke_Sauter","projekty","konstrukce","mechanicke;baroko","OVERRIDE: astronomický systém"
"atomove_kapesni","projekty","projekty","","DEFAULT: projekty → projekty"
"betrisey","projekty","virtualni-muzeum","kuriozita","OVERRIDE: Marc Betrisey"
"brillie","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"budiky1","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"budiky2","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"bulle","sbirka","konstrukce","bulle;elektromagneticke;1900s","OVERRIDE: princip BULLE elektromagnet"
"bychory_cimbaly","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"bychory_dalsi_kola","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"bychory_prokes1","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"bychory_restaurovani_napis","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"bychory_zvonici_stroj","vezni-hodiny","sbirka","","DEFAULT: vezni-hodiny → sbirka"
"carokodky","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"cas_internet1","projekty","projekty","","DEFAULT: projekty → projekty"
"cas_internet2","projekty","projekty","","DEFAULT: projekty → projekty"
"casova_pasma","projekty","zajimavosti","","OVERRIDE: pásmovky obecně"
"casovy_zamek","projekty","konstrukce","mechanicke","OVERRIDE: mechanismus zámku"
"co_pisi_jini","sbirka","zajimavosti","","OVERRIDE: citace z literatury"
"ctwagner","projekty","projekty","","DEFAULT: projekty → projekty"
"datumatik","projekty","konstrukce","mechanicke;1900s","OVERRIDE: Datumatic princip"
"dcf77","projekty","projekty","","DEFAULT: projekty → projekty"
"decimalky","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"decin_NTP","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_Wenzel_Mellner","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_aktual0","decin","kronika","","OVERRIDE: stěhování ze Soběslavi do Děčína 2015"
"decin_bici_stroje","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_chronulator","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_dalsi_stroje","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_elektrifikace","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_flatbed","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_fotobrezen2017","decin","kronika","","OVERRIDE: fotoreport březen 2017"
"decin_fotolistopad2018","decin","kronika","","OVERRIDE: fotoreport listopad 2018"
"decin_galerie","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_jednotny_cas","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_koncepce","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_patek","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_regulaceIBM","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_stroje2019","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_stroje2020","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_toulava_kamera2016","decin","kronika","","OVERRIDE: TV pořad 2016"
"decin_velika_ves","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_vypousteny","decin","sbirka","","DEFAULT: decin → sbirka"
"decin_zamek","decin","sbirka","","DEFAULT: decin → sbirka"
"dernisaz2013","decin","kronika","","OVERRIDE: dernisáž 2013"
"download","ostatni","zajimavosti","","DEFAULT: ostatni → zajimavosti"
"edgecombe","projekty","konstrukce","synchronni;1900s","OVERRIDE: Edgecombe Synclock princip"
"elektricke1","sbirka","konstrukce","elektricke","OVERRIDE: el. natahování"
"elektricke2","sbirka","konstrukce","elektricke","OVERRIDE: el. impulz oscilátoru"
"elektromagneticke_segmenty","projekty","projekty","","DEFAULT: projekty → projekty"
"eureka","projekty","konstrukce","elektromagneticke","OVERRIDE: princip Eureka"
"fake_atomove_hodiny","projekty","projekty","","DEFAULT: projekty → projekty"
"faust","sbirka","kronika","","OVERRIDE: výstavka Faust 2013"
"ferramo","projekty","konstrukce","elektricke","OVERRIDE: Ferramo natahování"
"flying_pendulum","projekty","konstrukce","kyvadlo","OVERRIDE: typ kyvadla"
"gobelin","projekty","virtualni-muzeum","kvetinove;kuriozita","OVERRIDE: vyšívané hodiny"
"hainz_natahovani","ostatni","zajimavosti","","DEFAULT: ostatni → zajimavosti"
"hinspirace","sbirka","virtualni-muzeum","","OVERRIDE: historické inspirace"
"index","ostatni","zajimavosti","","DEFAULT: ostatni → zajimavosti"
"janovice","vezni-hodiny","virtualni-muzeum","vezni;cesko","OVERRIDE: kostel Janovice"
"jednotnycas","projekty","konstrukce","synchronni","OVERRIDE: téma jednotného času"
"jezdecke","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"kalendar_rimsky","sbirka","zajimavosti","1700s;popularizace","OVERRIDE: téma kalendáře"
"kapesni_orloj","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"kardasova_recice","vezni-hodiny","virtualni-muzeum","vezni;cesko","OVERRIDE: Kardašova Řečice"
"kavalir","projekty","virtualni-muzeum","kuriozita","OVERRIDE: Hodiny Kavalír"
"kostky","decin","sbirka","","DEFAULT: decin → sbirka"
"kostky","decin","sbirka","","DEFAULT: decin → sbirka"
"kralovstvi-casu","ostatni","muzea","cesko","OVERRIDE: sister muzeum Protivín"
"kulicky","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"kuriozity1","sbirka","zajimavosti","kuriozita","OVERRIDE: odkazy na podivuhodné hodiny"
"kvetinove","sbirka","virtualni-muzeum","kvetinove","OVERRIDE: přehled květinových hodin ve světě"
"kvetinovehodiny_Chomutov","sbirka","virtualni-muzeum","kvetinove;cesko","OVERRIDE: Chomutov"
"kvetinovehodiny_NMnM","sbirka","virtualni-muzeum","kvetinove;cesko;1900s","OVERRIDE: NM nad Metují"
"lahvace","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"laplace","ostatni","zajimavosti","","DEFAULT: ostatni → zajimavosti"
"lenzkirch","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"line_kyvadlo","projekty","konstrukce","kyvadlo","OVERRIDE: fyzikální kyvadlo"
"listkove_kohler","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"literatura","sbirka","zajimavosti","","OVERRIDE: meta-page kandidát"
"mapa","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"maregraf","projekty","konstrukce","mechanicke;1800s","OVERRIDE: mořské hodiny princip"
"matematicke","projekty","projekty","","DEFAULT: projekty → projekty"
"mazan","projekty","zajimavosti","","OVERRIDE: časová symbolika — esej"
"mereni_casu","projekty","zajimavosti","popularizace","OVERRIDE: esej o měření času"
"merkur","sbirka","zajimavosti","kuriozita;diy","OVERRIDE: kuriozita ze stavebnice"
"mindelheim","vezni-hodiny","muzea","evropa","OVERRIDE: externí muzeum Mindelheim DE"
"mluvici1895","projekty","konstrukce","1800s","OVERRIDE: mluvící mechanismus"
"mobatime","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"mobil","projekty","projekty","","DEFAULT: projekty → projekty"
"motorky","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"muzea_cr","sbirka","muzea","cesko","OVERRIDE: přehled muzeí ČR"
"mystery","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"nocturnal","sbirka","sbirka","","DEFAULT: sbirka → sbirka"
"nonsens2015","decin","kronika","","OVERRIDE: výstavka Nonsens 2015"
"normalni","projekty","zajimavosti","","OVERRIDE: co je normální čas"
"ohlednuti2011","sbirka","kronika","","OVERRIDE: ohlédnutí za rokem 2011"
"orient","projekty","projekty","","DEFAULT: projekty → projekty"
